Yield_Pass_Fail,Sensor#60,Sensor#248,Sensor#520,Sensor#104,Sensor#349,Sensor#469,Sensor#289,Sensor#65,Sensor#206,Sensor#572,Sensor#386,Sensor#131,Sensor#34,Sensor#66,Sensor#511,Sensor#478,Sensor#113,Sensor#563,Sensor#20,Sensor#342,Sensor#378,Sensor#127,Sensor#427,Sensor#154,Sensor#347,Sensor#426,Sensor#22,Sensor#29,Sensor#125,Sensor#346,Sensor#153,Sensor#406,Sensor#574,Sensor#183,Sensor#123,Sensor#283,Sensor#130,Sensor#571,Sensor#417,Sensor#288,Sensor#453,Sensor#578,Sensor#32,Sensor#291,Sensor#71,Sensor#42,Sensor#39,Sensor#421,Sensor#211,Sensor#156
0,-0.0945,0,0,-0.0147,0.0179,0,0.0034,20.0945,6,1.9614,0,0.8036,8.8546,27.6705,24.5315,4.0299,0,274.914,12.5167,1.973,0.001,2.758,1.0303,0.01,0,5.5477,-5337.75,67.9,15.68,0,0.5376,0.0252,0.2936,13.35,2.964,0.0045,-2.458,530.2409,3.81,0.1593,6.1237,14.9692,3.3176,0.1166,630.1609,2.541,86.4099,1.3717,0.0683,0.4
0,-3.2436,0,0,-0.0099,0.0351,255.2691,0.0024,23.2436,8.62,1.866,0,0.7348,9.1637,31.0876,30.2267,5.7353,0,258.072,12.6012,2.5816,0.0016,2.594,0.8337,0.0081,0,5.3949,-5395.5,76.3,15.74,0,0.5041,0.0137,1.2571,12.6,3.882,0.0038,-0.8042,514.4364,2.3852,0.1476,5.5141,67.3679,3.5711,0.08,631.6264,2.925,87.3675,1.1209,0.1273,0.43
0,-11.4709,0,0,-0.0037,0.0242,31.9068,0.0018,31.4709,4.73,2.3921,0,0.7536,9.8481,39.091,202.7397,3.3268,0,245.686,12.3376,1.5024,0.0019,2.677,0.5578,0.0055,2.2175,4.2218,-6355.25,68.9444,15.83,2.8963,0.4487,0.0336,0.2503,6.23,3.987,0.003,-0.0946,535.3736,1.7379,0.1317,4.6092,10.4655,4.6121,0.0571,619.3755,2.635,86.8388,0.9243,0.0696,0.18
0,-9.2836,0,0,-0.0034,0.0174,110.8402,0.0054,29.2836,8.39,2.4213,0,0.7675,9.043,39.6517,162.3188,5.6813,0,259.52,12.5816,2.3042,0.0014,2.698,1.7361,0.0167,2.7118,3.8452,-6480.5,65.9556,15.78,6.0756,0.3871,0.0336,0.2431,12.28,3.877,0.0059,-0.615,534.5045,4.1983,0.1142,4.6611,10.039,4.6439,0.1026,616.8782,2.096,86.5358,1.8601,0.0606,0.4
0,20.6,0.0705,15.0909,-0.0054,0.0113,47.0388,0.0037,19.4,6.55,2.5798,0.0196,0.6925,8.9336,25.2665,127.4827,4.3662,0.4674,266.384,12.4743,1.6885,0.0013,2.931,1.1393,0.0111,3.8855,46.2461,-5409,68.3333,15.64,5.3369,4.964,0.0191,0.3432,9.51,3.865,0.0047,-0.1419,530.7191,4.3588,1.7788,5.0758,13.3049,3.3628,0.0555,613.6064,2.678,86.8595,1.4611,0.0386,0.2
0,-6.9155,0,0,-0.0062,0.0131,76.6399,0.007,26.9155,3.24,2.3075,0,0.7839,9.7997,34.5361,48.0962,2.1242,0,259.91,12.4222,1.0309,0.0011,2.685,2.2223,0.0213,3.2711,3.9517,-5611.75,68.0333,16.01,5.7269,0.388,0.0085,0.4222,9.52,3.421,0.0075,-0.615,530.4545,2.6601,0.1158,5.1047,18.2982,3.3839,0.1468,603.9627,2.773,87.5241,2.3727,0.0488,0.55
0,-3.5291,0.0373,8.0029,-0.0127,0.0205,105.4096,0.0028,23.5291,8.72,2.3526,0.0115,0.562,9.0811,28.1493,14.1454,5.8253,0.4658,261.736,12.5682,2.2727,0.002,2.393,0.8641,0.0084,3.309,14.0489,-6493,65.0889,15.71,7.8531,1.2918,0.0241,0.2577,13.3,6.063,0.0054,-3.025,531.7509,4.5349,0.3751,4.763,10.9533,4.6629,0.0812,622.8936,2.911,86.8444,1.7137,0.0945,0.32
0,2.3318,0,0,-0.0107,0,406.9788,0.0033,17.6682,8.42,1.9857,0,0.8712,8.1605,20.9574,40.0932,5.6591,0,267.712,12.452,2.0412,0.0014,2.783,1.0549,0.0103,0,10.4709,-6416.25,69.5,15.87,0,1.0377,0.038,0.3368,16.44,1.671,0.0045,-0.1419,532.4527,4.1575,0.3068,6.8363,16.9589,4.7246,0.0416,611.8573,2.759,86.629,1.4371,0,0.18
0,8.3918,0.0454,9.7632,-0.0058,0.0108,103.9109,0.0052,31.6082,6.71,2.134,0.0084,0.8487,8.5155,39.8602,68.6695,4.6918,0.465,263.254,12.6202,2.1984,0.0014,2.935,1.6657,0.0161,3.0662,6.8299,-5394,67.7333,15.74,5.9018,0.7132,0.0343,0.3639,9.29,2.948,0.0108,-0.0946,533.9245,3.2794,0.2144,5.8399,17.0534,3.4007,0.168,632.7136,2.422,87.1407,3.4618,0.0388,0.59
0,4.4564,0.0244,5.3068,-0.0113,0.0289,115.5651,0.0016,15.5436,16.99,2.3436,0.0066,0.6586,8.5232,21.1288,59.3577,11.5187,0.4605,0,12.4655,4.5092,0.0018,2.486,0.4907,0.0048,0,14.7279,-5655.25,67.1889,15.75,0,1.5763,0.0217,0.2679,7.72,4.348,0.0029,-0.0473,535.4736,3.2218,0.5338,6.5285,11.4305,3.4011,0.0655,612.6755,2.607,86.6814,0.8538,0.1283,0.27
